Downloaded from wid.world on 13-04-2025 at 11:14:22
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1980;Unnamed: 4
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1981;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1982;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1983;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1984;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1985;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1986;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1987;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1988;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1989;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1990;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1991;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1992;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1993;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1994;
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1995;0.6941
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1996;0.6941
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1997;0.6941
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1998;0.6940000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1999;0.6941
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2000;0.6942
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2001;0.6942
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2002;0.6989000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2003;0.6962
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2004;0.6912
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2005;0.7021000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2006;0.7020000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2007;0.6944
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2008;0.6965
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2009;0.6948000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2010;0.6982
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2011;0.7021000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2012;0.6977
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2013;0.6935
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2014;0.6947
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2015;0.7006
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2016;0.6959000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2017;0.6936
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2018;0.6920000000000001
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2019;0.6877
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.6996
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2021;0.7027
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2022;0.6987
Brazil ;"shweal_p90p100_z_BR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2023;0.6970000000000001
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1980;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1981;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1982;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1983;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1984;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1985;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1986;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1987;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1988;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1989;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1990;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1991;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1992;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1993;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1994;
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1995;0.607
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1996;0.607
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1997;0.6071000000000001
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1998;0.607
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1999;0.607
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2000;0.6071000000000001
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2001;0.607
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2002;0.6071000000000001
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2003;0.607
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2004;0.608
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2005;0.6087
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2006;0.6102000000000001
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2007;0.6112000000000001
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2008;0.6141
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2009;0.6153000000000001
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2010;0.6165
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2011;0.6177
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2012;0.6154000000000001
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2013;0.6124
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2014;0.6088
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2015;0.6073000000000001
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2016;0.6059
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2017;0.6044
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2018;0.6029
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2019;0.6026
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.6021000000000001
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2021;0.602
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2022;0.6017
Chad ;"shweal_p90p100_z_TD
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2023;0.6016
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1980;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1981;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1982;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1983;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1984;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1985;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1986;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1987;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1988;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1989;0.4081
China ;"shweal_p90p100_z_CN
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;1990;0.4081
